title,release,price,url,error
Greyhill Incident,9 июн. 2023 г.,710 руб.,https://store.steampowered.com/app/1905020/Greyhill_Incident/,
Absolum,9 окт. 2025 г.,880 руб.,https://store.steampowered.com/app/1904480/Absolum/,
Clair Obscur: Expedition 33,24 апр. 2025 г.,3359 руб.,https://store.steampowered.com/app/1903340/Clair_Obscur_Expedition_33/,
Nearly Dead - Live and Let Die,21 ноя. 2023 г.,280 руб.,https://store.steampowered.com/app/1901810/Nearly_Dead__Live_and_Let_Die/,
Autonauts vs Piratebots,28 июл. 2022 г.,999 руб.,https://store.steampowered.com/app/1907720/Autonauts_vs_Piratebots/,
Rescue Team: Heist of the Century,30 мар. 2022 г.,199 руб.,https://store.steampowered.com/app/1901560/Rescue_Team_Heist_of_the_Century/,
Only Lead Can Stop Them,9 дек. 2024 г.,385 руб.,https://store.steampowered.com/app/1909100/Only_Lead_Can_Stop_Them/,
Gravitar: Recharged,2 июн. 2022 г.,259 руб.,https://store.steampowered.com/app/1905430/Gravitar_Recharged/,
Смурфики: Картинг,22 авг. 2023 г.,357 руб.,https://store.steampowered.com/app/1911220/Smurfiki_Karting/,
Haunted House Renovator,30 апр. 2025 г.,839 руб.,https://store.steampowered.com/app/1917850/Haunted_House_Renovator/,
Spirit Hunters: Infinite Horde,20 июн. 2023 г.,320 руб.,https://store.steampowered.com/app/1914580/Spirit_Hunters_Infinite_Horde/,
The Renovator: Origins,13 июл. 2024 г.,385 руб.,https://store.steampowered.com/app/1917550/The_Renovator_Origins/,
Twilight Monk,26 мар. 2025 г.,710 руб.,https://store.steampowered.com/app/1911940/Twilight_Monk/,
Winter,15 мар. 2022 г.,1100 руб.,https://store.steampowered.com/app/1919040/Winter/,
Backfirewall_,30 янв. 2023 г.,1200 руб.,https://store.steampowered.com/app/1920100/Backfirewall/,
Venture Towns,22 мая. 2022 г.,205 руб.,https://store.steampowered.com/app/1923670/Venture_Towns/,
Locked Up,31 мар. 2022 г.,140 руб.,https://store.steampowered.com/app/1925310/Locked_Up/,
Leap of Phase: Samantha,13 июл. 2022 г.,360 руб.,https://store.steampowered.com/app/1926390/Leap_of_Phase_Samantha/,
Ancient Wars: Medieval Crusades,26 янв. 2024 г.,899 руб.,https://store.steampowered.com/app/1925620/Ancient_Wars_Medieval_Crusades/,
Bunny Girl Story,22 апр. 2022 г.,42 руб.,https://store.steampowered.com/app/1920400/Bunny_Girl_Story/,
Monument Valley 2,12 июл. 2022 г.,195 руб.,https://store.steampowered.com/app/1927740/Monument_Valley_2/,
,,,https://store.steampowered.com/app/1926170/Forgotten_Hill_Tales/,"Message: unknown error: net::ERR_CONNECTION_TIMED_OUT
  (Session info: chrome=142.0.7444.134)
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x7ff65c30a235
	0x7ff65c062650
	0x7ff65bdf16dd
	0x7ff65bdee228
	0x7ff65bddeba9
	0x7ff65bde09d7
	0x7ff65bddf160
	0x7ff65bdde917
	0x7ff65bdde5db
	0x7ff65bddc145
	0x7ff65bddc9dc
	0x7ff65bdf59ea
	0x7ff65be9c8be
	0x7ff65be72b0a
	0x7ff65be9baba
	0x7ff65be3b0ed
	0x7ff65be3bf63
	0x7ff65c335d60
	0x7ff65c32fe8a
	0x7ff65c351005
	0x7ff65c07d73e
	0x7ff65c084e3f
	0x7ff65c06b7e4
	0x7ff65c06b99f
	0x7ff65c051908
	0x7ff932e87374
	0x7ff933f3cc91
"
Paper Kingdom,23 окт. 2025 г.,490 руб.,https://store.steampowered.com/app/1930390/Paper_Kingdom/,
Demonologist,25 сен. 2023 г.,710 руб.,https://store.steampowered.com/app/1929610/Demonologist/,
Chants of Sennaar,5 сен. 2023 г.,999 руб.,https://store.steampowered.com/app/1931770/Chants_of_Sennaar/,
Nomad Survival,8 окт. 2022 г.,200 руб.,https://store.steampowered.com/app/1929870/Nomad_Survival/,
Mark of the Deep,24 янв. 2025 г.,710 руб.,https://store.steampowered.com/app/1933370/Mark_of_the_Deep/,
Takara Cards,17 янв. 2025 г.,225 руб.,https://store.steampowered.com/app/1932210/Takara_Cards/,
FROGUE,14 фев. 2024 г.,460 руб.,https://store.steampowered.com/app/1936990/FROGUE/,
Moon Mystery,28 окт. 2024 г.,710 руб.,https://store.steampowered.com/app/1933840/Moon_Mystery/,
Brotato,23 июн. 2023 г.,200 руб.,https://store.steampowered.com/app/1942280/Brotato/,
Simon the Sorcerer Origins,27 окт. 2025 г.,880 руб.,https://store.steampowered.com/app/1939890/Simon_the_Sorcerer_Origins/,
Amnesia: The Bunker,6 июн. 2023 г.,880 руб.,https://store.steampowered.com/app/1944430/Amnesia_The_Bunker/,
Let's School,26 июл. 2023 г.,710 руб.,https://store.steampowered.com/app/1937500/Lets_School/,
Banana Shooter,1 мая. 2022 г.,Бесплатно,https://store.steampowered.com/app/1949740/Banana_Shooter/,
Ten Dates,13 фев. 2023 г.,590 руб.,https://store.steampowered.com/app/1946070/Ten_Dates/,
Bubble Shot,20 июн. 2022 г.,125 руб.,https://store.steampowered.com/app/1955820/Bubble_Shot/,
To Pixelia,1 мая. 2025 г.,360 руб.,https://store.steampowered.com/app/1954160/To_Pixelia/,
Rock Simulator 2,30 ноя. 2023 г.,125 руб.,https://store.steampowered.com/app/1949770/Rock_Simulator_2/,
Barro F22,25 апр. 2022 г.,"Цена для вас:
70,56 руб.",https://store.steampowered.com/app/1958600/Barro_F22/,
