title,release,price,url,error
KungFu Kickball,9 фев. 2022 г.,700 руб.,https://store.steampowered.com/app/1004620/KungFu_Kickball/,
Foregone,1 мар. 2021 г.,435 руб.,https://store.steampowered.com/app/1000760/Foregone/,
Roombo: First Blood,7 авг. 2019 г.,200 руб.,https://store.steampowered.com/app/1004610/Roombo_First_Blood/,
cat notebook,1 фев. 2019 г.,133 руб.,https://store.steampowered.com/app/1003490/cat_notebook/,
Drawngeon: Dungeons of Ink and Paper,24 мая. 2019 г.,200 руб.,https://store.steampowered.com/app/1000470/Drawngeon_Dungeons_of_Ink_and_Paper/,
Heroes Of Maidan 2,21 янв. 2019 г.,61 руб.,https://store.steampowered.com/app/1010070/Heroes_Of_Maidan_2/,
Delicious - Emily's Road Trip,4 июн. 2019 г.,710 руб.,https://store.steampowered.com/app/1005130/Delicious__Emilys_Road_Trip/,
The Tenants,25 мар. 2021 г.,809 руб.,https://store.steampowered.com/app/1009560/The_Tenants/,
Fabulous - Angela's True Colors,24 янв. 2019 г.,710 руб.,https://store.steampowered.com/app/1005050/Fabulous__Angelas_True_Colors/,
Freedom Finger,27 сен. 2019 г.,799 руб.,https://store.steampowered.com/app/1005410/Freedom_Finger/,
Soccering,6 авг. 2020 г.,42 руб.,https://store.steampowered.com/app/1012530/Soccering/,
Through Abandoned: The Refuge,25 мар. 2019 г.,42 руб.,https://store.steampowered.com/app/1012460/Through_Abandoned_The_Refuge/,
60 Seconds! Reatomized,25 июл. 2019 г.,449 руб.,https://store.steampowered.com/app/1012880/60_Seconds_Reatomized/,
Military Conflict: Vietnam,16 дек. 2022 г.,349 руб.,https://store.steampowered.com/app/1012110/Military_Conflict_Vietnam/,
Night is Coming,14 апр. 2025 г.,890 руб.,https://store.steampowered.com/app/1011590/Night_is_Coming/,
Дьяволоборец Ракшаси,22 апр. 2021 г.,570 руб.,https://store.steampowered.com/app/1016600/Dyavoloborecz_Rakshasi/,
Boiling Steel,5 мар. 2020 г.,180 руб.,https://store.steampowered.com/app/1016860/Boiling_Steel/,
Chernobylite Complete Edition,28 июл. 2021 г.,1100 руб.,https://store.steampowered.com/app/1016800/Chernobylite_Complete_Edition/,
PERISH,2 фев. 2023 г.,1090 руб.,https://store.steampowered.com/app/1016360/PERISH/,
Deck of Ashes,9 июн. 2020 г.,499 руб.,https://store.steampowered.com/app/1016730/Deck_of_Ashes/,
Element TD 2 - Tower Defense,2 апр. 2021 г.,600 руб.,https://store.steampowered.com/app/1018830/Element_TD_2__Tower_Defense/,
